Cust_num,Region,Age,Order Quantity,Customer_Type,Improvement Area,Overall_Satisfaction
90,SOUTH,28,67,Prime,Product Quality,Satisfied
91,NORTH,52,38,Non_Prime,Product Quality,Satisfied
92,NORTH,44,18,Prime,Product Quality,Satisfied
93,NORTH,66,5,Prime,Website UI,Satisfied
94,NORTH,42,44,Prime,Product Quality,Satisfied
95,WEST,40,94,Prime,Product Quality,Satisfied
96,SOUTH,43,83,Prime,Website UI,Satisfied
97,SOUTH,36,33,Non_Prime,Website UI,Satisfied
98,NORTH,35,6,Prime,Product Quality,Satisfied
99,EAST,57,16,Prime,Packing & Shipping,Dis Satisfied
100,EAST,21,57,Prime,Website UI,Satisfied
101,NORTH,36,72,Prime,Product Quality,Satisfied
102,WEST,39,37,Prime,Website UI,Dis Satisfied
103,NORTH,66,38,Non_Prime,Website UI,Dis Satisfied
104,EAST,33,53,Prime,Website UI,Satisfied
105,WEST,19,96,Non_Prime,Product Quality,Satisfied
106,NORTH,35,22,Non_Prime,Website UI,Dis Satisfied
107,SOUTH,53,21,Non_Prime,Packing & Shipping,Dis Satisfied
108,EAST,42,11,Non_Prime,Website UI,Dis Satisfied
109,EAST,62,38,Non_Prime,Product Quality,Dis Satisfied
110,EAST,25,86,Non_Prime,Packing & Shipping,Satisfied
111,WEST,42,21,Prime,Website UI,Dis Satisfied
112,WEST,51,29,Prime,Product Quality,Dis Satisfied
113,NORTH,50,22,Non_Prime,Website UI,Dis Satisfied
114,SOUTH,44,26,Non_Prime,Website UI,Dis Satisfied
115,WEST,31,97,Prime,Packing & Shipping,Satisfied
116,SOUTH,43,91,Prime,Product Quality,Satisfied
117,NORTH,41,71,Prime,Product Quality,Satisfied
118,WEST,65,23,Non_Prime,Website UI,Dis Satisfied
119,WEST,58,13,Prime,Website UI,Dis Satisfied
120,WEST,23,50,Prime,Product Quality,Satisfied
121,SOUTH,31,11,Prime,Website UI,Dis Satisfied
122,SOUTH,69,10,Prime,Product Quality,Dis Satisfied
123,NORTH,48,12,Prime,Website UI,Dis Satisfied
124,WEST,45,40,Non_Prime,Packing & Shipping,Dis Satisfied
125,WEST,18,70,Prime,Packing & Shipping,Satisfied
126,SOUTH,58,25,Non_Prime,Website UI,Dis Satisfied
127,EAST,21,90,Non_Prime,Product Quality,Satisfied
128,WEST,32,65,Non_Prime,Product Quality,Satisfied
129,EAST,37,43,Prime,Product Quality,Satisfied
130,SOUTH,58,14,Prime,Product Quality,Dis Satisfied
131,WEST,40,91,Prime,Packing & Shipping,Satisfied
132,WEST,59,38,Non_Prime,Product Quality,Dis Satisfied
133,SOUTH,36,30,Prime,Website UI,Satisfied
134,SOUTH,38,93,Prime,Product Quality,Satisfied
135,SOUTH,43,76,Prime,Website UI,Satisfied
136,SOUTH,44,75,Prime,Packing & Shipping,Dis Satisfied
137,SOUTH,36,64,Non_Prime,Product Quality,Dis Satisfied
138,WEST,54,38,Non_Prime,Packing & Shipping,Satisfied
139,NORTH,50,13,Prime,Product Quality,Dis Satisfied
140,EAST,21,95,Non_Prime,Packing & Shipping,Satisfied
141,WEST,55,29,Non_Prime,Product Quality,Dis Satisfied
142,WEST,43,23,Non_Prime,Packing & Shipping,Dis Satisfied
143,NORTH,50,24,Non_Prime,Packing & Shipping,Satisfied
144,NORTH,42,22,Non_Prime,Product Quality,Satisfied
145,SOUTH,28,54,Prime,Product Quality,Satisfied
146,SOUTH,39,53,Prime,Website UI,Dis Satisfied
147,SOUTH,64,22,Non_Prime,Website UI,Dis Satisfied
148,SOUTH,65,35,Non_Prime,Packing & Shipping,Dis Satisfied
149,NORTH,18,31,Non_Prime,Packing & Shipping,Satisfied
150,WEST,46,33,Prime,Website UI,Satisfied
151,WEST,20,35,Prime,Product Quality,Satisfied
152,NORTH,50,15,Non_Prime,Product Quality,Dis Satisfied
153,WEST,62,14,Non_Prime,Website UI,Dis Satisfied
154,WEST,69,21,Prime,Packing & Shipping,Dis Satisfied
155,NORTH,19,100,Prime,Packing & Shipping,Satisfied
156,NORTH,34,33,Non_Prime,Packing & Shipping,Dis Satisfied
157,NORTH,44,12,Prime,Website UI,Dis Satisfied
158,SOUTH,38,62,Non_Prime,Website UI,Satisfied
159,WEST,32,38,Prime,Product Quality,Satisfied
160,WEST,57,37,Non_Prime,Website UI,Dis Satisfied
161,WEST,35,16,Non_Prime,Packing & Shipping,Dis Satisfied
162,SOUTH,45,24,Non_Prime,Product Quality,Dis Satisfied
163,SOUTH,68,5,Prime,Website UI,Dis Satisfied
164,EAST,59,18,Non_Prime,Website UI,Dis Satisfied
165,NORTH,34,29,Non_Prime,Packing & Shipping,Dis Satisfied
166,SOUTH,46,27,Non_Prime,Product Quality,Dis Satisfied
167,NORTH,41,27,Non_Prime,Product Quality,Dis Satisfied
168,SOUTH,43,95,Prime,Website UI,Satisfied
169,NORTH,64,6,Non_Prime,Product Quality,Dis Satisfied
170,EAST,37,69,Prime,Packing & Shipping,Satisfied
171,NORTH,32,34,Prime,Packing & Shipping,Dis Satisfied
172,EAST,32,75,Non_Prime,Product Quality,Satisfied
173,NORTH,52,13,Non_Prime,Product Quality,Dis Satisfied
174,SOUTH,23,92,Prime,Website UI,Satisfied
175,WEST,69,39,Prime,Product Quality,Dis Satisfied
176,SOUTH,24,39,Prime,Website UI,Satisfied
177,EAST,56,6,Prime,Product Quality,Dis Satisfied
178,SOUTH,39,9,Prime,Packing & Shipping,Dis Satisfied
179,NORTH,60,30,Prime,Product Quality,Dis Satisfied
180,SOUTH,24,54,Prime,Website UI,Satisfied
181,NORTH,35,61,Prime,Website UI,Satisfied
182,WEST,46,9,Non_Prime,Packing & Shipping,Dis Satisfied
183,SOUTH,38,31,Non_Prime,Product Quality,Dis Satisfied
184,SOUTH,19,33,Prime,Packing & Shipping,Satisfied
185,SOUTH,40,81,Prime,Website UI,Satisfied
186,SOUTH,39,9,Non_Prime,Packing & Shipping,Dis Satisfied
187,WEST,66,10,Prime,Packing & Shipping,Dis Satisfied
188,WEST,32,65,Prime,Website UI,Satisfied
189,NORTH,27,80,Prime,Packing & Shipping,Satisfied
190,NORTH,45,11,Prime,Website UI,Dis Satisfied
191,SOUTH,19,84,Prime,Packing & Shipping,Satisfied
192,EAST,58,11,Prime,Website UI,Dis Satisfied
193,EAST,18,47,Prime,Packing & Shipping,Dis Satisfied
194,WEST,39,37,Prime,Packing & Shipping,Dis Satisfied
195,WEST,67,35,Prime,Website UI,Satisfied
196,NORTH,64,31,Non_Prime,Website UI,Dis Satisfied
197,EAST,55,5,Non_Prime,Website UI,Satisfied
198,SOUTH,50,37,Non_Prime,Product Quality,Dis Satisfied
199,SOUTH,67,40,Non_Prime,Product Quality,Dis Satisfied
200,SOUTH,33,62,Prime,Packing & Shipping,Satisfied
201,NORTH,55,7,Non_Prime,Website UI,Satisfied
202,NORTH,41,37,Prime,Packing & Shipping,Satisfied
203,NORTH,37,27,Prime,Packing & Shipping,Dis Satisfied
204,WEST,24,62,Prime,Website UI,Dis Satisfied
205,SOUTH,21,96,Prime,Packing & Shipping,Dis Satisfied
206,WEST,31,63,Non_Prime,Product Quality,Satisfied
207,NORTH,40,33,Prime,Packing & Shipping,Satisfied
208,EAST,36,91,Non_Prime,Product Quality,Satisfied
209,NORTH,23,68,Prime,Website UI,Satisfied
210,EAST,69,5,Non_Prime,Product Quality,Dis Satisfied
211,NORTH,32,98,Prime,Website UI,Satisfied
212,NORTH,42,41,Prime,Website UI,Satisfied
213,NORTH,24,72,Prime,Packing & Shipping,Satisfied
214,NORTH,42,15,Prime,Product Quality,Dis Satisfied
215,NORTH,42,73,Prime,Website UI,Satisfied
216,NORTH,21,72,Prime,Website UI,Satisfied
217,SOUTH,32,17,Prime,Packing & Shipping,Dis Satisfied
218,WEST,55,19,Prime,Packing & Shipping,Dis Satisfied
219,EAST,56,35,Prime,Packing & Shipping,Dis Satisfied
220,WEST,67,26,Prime,Packing & Shipping,Dis Satisfied
221,NORTH,48,21,Prime,Website UI,Dis Satisfied
222,EAST,36,92,Non_Prime,Website UI,Satisfied
223,WEST,29,36,Prime,Website UI,Satisfied
224,NORTH,56,14,Non_Prime,Packing & Shipping,Dis Satisfied
225,SOUTH,22,80,Prime,Packing & Shipping,Satisfied
226,NORTH,64,36,Prime,Product Quality,Dis Satisfied
227,EAST,23,72,Prime,Website UI,Satisfied
228,NORTH,35,33,Non_Prime,Product Quality,Dis Satisfied
229,SOUTH,19,55,Prime,Website UI,Satisfied
230,SOUTH,42,45,Prime,Website UI,Satisfied
231,SOUTH,22,66,Prime,Product Quality,Satisfied
232,EAST,40,69,Prime,Packing & Shipping,Satisfied
233,WEST,35,66,Prime,Website UI,Satisfied
234,WEST,22,38,Non_Prime,Product Quality,Satisfied
235,SOUTH,26,58,Prime,Packing & Shipping,Satisfied
236,SOUTH,46,40,Non_Prime,Packing & Shipping,Dis Satisfied
237,SOUTH,46,36,Prime,Website UI,Dis Satisfied
238,SOUTH,41,100,Prime,Packing & Shipping,Satisfied
239,WEST,35,16,Non_Prime,Website UI,Dis Satisfied
240,WEST,56,27,Non_Prime,Website UI,Dis Satisfied
241,WEST,25,52,Non_Prime,Website UI,Satisfied
242,WEST,55,6,Non_Prime,Website UI,Dis Satisfied
243,SOUTH,33,31,Non_Prime,Website UI,Dis Satisfied
244,NORTH,62,29,Non_Prime,Product Quality,Dis Satisfied
245,EAST,33,92,Prime,Product Quality,Satisfied
246,WEST,49,5,Non_Prime,Product Quality,Dis Satisfied
247,NORTH,18,83,Prime,Website UI,Satisfied
248,EAST,33,92,Non_Prime,Product Quality,Satisfied
249,WEST,44,19,Non_Prime,Website UI,Dis Satisfied
250,SOUTH,52,36,Non_Prime,Packing & Shipping,Dis Satisfied
251,NORTH,70,18,Non_Prime,Product Quality,Dis Satisfied
252,NORTH,45,39,Prime,Product Quality,Satisfied
253,EAST,55,22,Prime,Website UI,Dis Satisfied
254,WEST,54,6,Non_Prime,Website UI,Dis Satisfied
255,EAST,41,35,Non_Prime,Website UI,Dis Satisfied
256,NORTH,42,83,Non_Prime,Website UI,Satisfied
257,NORTH,42,84,Prime,Product Quality,Satisfied
258,EAST,55,26,Non_Prime,Product Quality,Dis Satisfied
259,NORTH,39,8,Non_Prime,Packing & Shipping,Dis Satisfied
260,SOUTH,24,89,Non_Prime,Website UI,Satisfied
261,NORTH,55,24,Prime,Packing & Shipping,Dis Satisfied
262,WEST,48,9,Prime,Product Quality,Dis Satisfied
263,WEST,58,28,Non_Prime,Product Quality,Dis Satisfied
264,WEST,56,14,Prime,Website UI,Dis Satisfied
265,NORTH,43,33,Prime,Product Quality,Dis Satisfied
266,WEST,38,78,Prime,Product Quality,Satisfied
267,NORTH,63,23,Non_Prime,Product Quality,Dis Satisfied
268,NORTH,69,35,Prime,Packing & Shipping,Dis Satisfied
269,SOUTH,43,88,Prime,Product Quality,Satisfied
270,EAST,35,97,Prime,Packing & Shipping,Satisfied
271,SOUTH,19,30,Non_Prime,Packing & Shipping,Satisfied
272,SOUTH,46,8,Prime,Packing & Shipping,Dis Satisfied
273,WEST,41,84,Prime,Website UI,Satisfied
274,WEST,33,81,Non_Prime,Product Quality,Satisfied
275,NORTH,56,39,Non_Prime,Website UI,Dis Satisfied
276,EAST,64,20,Non_Prime,Packing & Shipping,Dis Satisfied
277,WEST,29,85,Prime,Packing & Shipping,Satisfied
278,NORTH,38,97,Prime,Packing & Shipping,Satisfied
279,NORTH,40,63,Prime,Website UI,Satisfied
280,SOUTH,39,35,Non_Prime,Product Quality,Dis Satisfied
281,WEST,61,20,Non_Prime,Packing & Shipping,Dis Satisfied
282,WEST,47,37,Non_Prime,Product Quality,Dis Satisfied
283,WEST,45,76,Prime,Packing & Shipping,Satisfied
284,EAST,19,94,Prime,Product Quality,Satisfied
285,WEST,37,15,Non_Prime,Packing & Shipping,Dis Satisfied
286,WEST,47,34,Prime,Product Quality,Dis Satisfied
287,WEST,60,13,Prime,Product Quality,Dis Satisfied
288,NORTH,24,83,Prime,Product Quality,Satisfied
289,NORTH,24,60,Non_Prime,Product Quality,Satisfied
290,SOUTH,31,38,Prime,Product Quality,Satisfied
291,NORTH,30,25,Non_Prime,Product Quality,Dis Satisfied
292,NORTH,64,35,Prime,Packing & Shipping,Dis Satisfied
293,SOUTH,36,58,Prime,Packing & Shipping,Satisfied
294,WEST,37,11,Prime,Website UI,Dis Satisfied
295,SOUTH,32,47,Prime,Website UI,Satisfied
296,NORTH,59,27,Prime,Website UI,Dis Satisfied
297,WEST,59,30,Prime,Website UI,Dis Satisfied
298,EAST,64,22,Non_Prime,Product Quality,Dis Satisfied
299,SOUTH,70,31,Prime,Website UI,Dis Satisfied
300,SOUTH,26,31,Prime,Website UI,Satisfied
301,NORTH,19,32,Prime,Product Quality,Satisfied
302,SOUTH,37,33,Prime,Packing & Shipping,Dis Satisfied
303,WEST,30,20,Prime,Product Quality,Dis Satisfied
304,SOUTH,27,89,Non_Prime,Packing & Shipping,Satisfied
305,SOUTH,60,31,Prime,Packing & Shipping,Dis Satisfied
306,SOUTH,37,60,Non_Prime,Packing & Shipping,Satisfied
307,NORTH,34,76,Prime,Product Quality,Satisfied
308,SOUTH,20,70,Prime,Website UI,Satisfied
309,WEST,49,16,Prime,Website UI,Dis Satisfied
310,SOUTH,53,21,Non_Prime,Website UI,Dis Satisfied
311,SOUTH,25,40,Prime,Product Quality,Satisfied
312,NORTH,37,54,Prime,Product Quality,Satisfied
313,NORTH,47,13,Non_Prime,Website UI,Dis Satisfied
314,EAST,20,30,Prime,Website UI,Satisfied
315,NORTH,31,51,Prime,Packing & Shipping,Satisfied
316,NORTH,48,14,Prime,Packing & Shipping,Dis Satisfied
317,WEST,32,40,Non_Prime,Product Quality,Dis Satisfied
318,NORTH,40,15,Non_Prime,Website UI,Dis Satisfied
319,SOUTH,30,9,Non_Prime,Website UI,Dis Satisfied
320,WEST,48,25,Prime,Website UI,Dis Satisfied
321,SOUTH,45,53,Non_Prime,Product Quality,Satisfied
322,NORTH,38,37,Prime,Website UI,Satisfied
323,EAST,63,24,Non_Prime,Product Quality,Dis Satisfied
324,NORTH,35,41,Prime,Website UI,Satisfied
325,WEST,63,19,Prime,Website UI,Dis Satisfied
326,EAST,24,62,Prime,Website UI,Satisfied
327,WEST,55,15,Non_Prime,Product Quality,Dis Satisfied
328,SOUTH,65,17,Non_Prime,Product Quality,Dis Satisfied
329,WEST,60,10,Non_Prime,Website UI,Dis Satisfied
330,SOUTH,24,84,Prime,Website UI,Satisfied
331,SOUTH,46,39,Prime,Website UI,Dis Satisfied
332,WEST,33,11,Prime,Packing & Shipping,Dis Satisfied
333,NORTH,41,41,Prime,Packing & Shipping,Satisfied
334,NORTH,48,17,Prime,Website UI,Dis Satisfied
335,EAST,53,30,Prime,Website UI,Dis Satisfied
336,WEST,41,31,Non_Prime,Packing & Shipping,Dis Satisfied
337,SOUTH,44,44,Prime,Website UI,Satisfied
338,WEST,47,33,Non_Prime,Website UI,Dis Satisfied
339,WEST,60,33,Prime,Product Quality,Dis Satisfied
340,WEST,33,55,Prime,Product Quality,Satisfied
341,NORTH,38,47,Prime,Product Quality,Satisfied
342,SOUTH,41,73,Non_Prime,Packing & Shipping,Satisfied
343,SOUTH,24,74,Prime,Website UI,Satisfied
344,SOUTH,40,27,Non_Prime,Packing & Shipping,Dis Satisfied
345,WEST,23,32,Prime,Website UI,Satisfied
346,SOUTH,57,5,Prime,Website UI,Dis Satisfied
347,SOUTH,66,9,Non_Prime,Website UI,Dis Satisfied
348,EAST,40,30,Prime,Website UI,Dis Satisfied
349,WEST,51,35,Non_Prime,Packing & Shipping,Dis Satisfied
350,EAST,27,83,Non_Prime,Packing & Shipping,Satisfied
351,EAST,43,28,Prime,Product Quality,Dis Satisfied
352,WEST,34,6,Prime,Packing & Shipping,Dis Satisfied
353,SOUTH,28,45,Prime,Packing & Shipping,Satisfied
354,WEST,20,46,Non_Prime,Packing & Shipping,Satisfied
355,NORTH,55,33,Prime,Packing & Shipping,Dis Satisfied
356,WEST,23,82,Non_Prime,Product Quality,Satisfied
357,SOUTH,46,29,Non_Prime,Packing & Shipping,Dis Satisfied
358,WEST,23,86,Prime,Website UI,Satisfied
359,NORTH,42,35,Prime,Website UI,Dis Satisfied
360,NORTH,40,27,Non_Prime,Website UI,Dis Satisfied
361,NORTH,45,100,Prime,Website UI,Satisfied
362,NORTH,20,44,Non_Prime,Product Quality,Satisfied
363,WEST,50,11,Prime,Website UI,Dis Satisfied
364,EAST,26,53,Prime,Packing & Shipping,Satisfied
365,NORTH,31,69,Non_Prime,Product Quality,Satisfied
366,WEST,26,68,Prime,Website UI,Satisfied
367,WEST,63,27,Non_Prime,Product Quality,Dis Satisfied
368,EAST,47,33,Non_Prime,Packing & Shipping,Dis Satisfied
369,WEST,68,38,Non_Prime,Product Quality,Dis Satisfied
370,NORTH,65,29,Non_Prime,Product Quality,Dis Satisfied
371,NORTH,31,92,Prime,Website UI,Satisfied
372,NORTH,44,8,Non_Prime,Packing & Shipping,Dis Satisfied
373,SOUTH,30,90,Prime,Packing & Shipping,Satisfied
374,NORTH,31,35,Prime,Product Quality,Dis Satisfied
375,EAST,31,17,Prime,Product Quality,Dis Satisfied
376,SOUTH,60,19,Non_Prime,Packing & Shipping,Dis Satisfied
377,WEST,21,78,Prime,Product Quality,Satisfied
378,WEST,49,24,Non_Prime,Packing & Shipping,Dis Satisfied
379,WEST,28,33,Prime,Product Quality,Satisfied
380,SOUTH,41,52,Non_Prime,Website UI,Satisfied
381,NORTH,33,35,Non_Prime,Website UI,Dis Satisfied
382,SOUTH,31,24,Non_Prime,Website UI,Dis Satisfied
383,SOUTH,60,40,Non_Prime,Website UI,Dis Satisfied
384,EAST,38,38,Prime,Product Quality,Satisfied
385,NORTH,30,52,Prime,Product Quality,Satisfied
386,NORTH,33,10,Non_Prime,Packing & Shipping,Dis Satisfied
387,EAST,47,28,Non_Prime,Product Quality,Dis Satisfied
388,WEST,31,57,Prime,Website UI,Satisfied
389,WEST,27,98,Prime,Product Quality,Satisfied
390,WEST,68,6,Non_Prime,Website UI,Dis Satisfied
391,NORTH,28,41,Prime,Website UI,Satisfied
392,SOUTH,36,39,Prime,Product Quality,Dis Satisfied
393,NORTH,42,65,Prime,Website UI,Satisfied
394,EAST,56,36,Prime,Website UI,Dis Satisfied
395,NORTH,48,18,Non_Prime,Packing & Shipping,Dis Satisfied
396,SOUTH,67,11,Non_Prime,Website UI,Dis Satisfied
397,NORTH,40,7,Non_Prime,Website UI,Dis Satisfied
398,NORTH,45,8,Non_Prime,Packing & Shipping,Dis Satisfied
399,NORTH,61,17,Prime,Product Quality,Dis Satisfied
400,EAST,34,85,Prime,Packing & Shipping,Satisfied
401,NORTH,42,48,Prime,Product Quality,Satisfied
402,WEST,54,24,Prime,Packing & Shipping,Dis Satisfied
403,WEST,43,35,Non_Prime,Product Quality,Satisfied
404,SOUTH,40,14,Non_Prime,Product Quality,Dis Satisfied
405,SOUTH,42,20,Non_Prime,Website UI,Dis Satisfied
406,SOUTH,39,14,Prime,Packing & Shipping,Dis Satisfied
407,EAST,46,11,Prime,Website UI,Dis Satisfied
408,EAST,34,26,Non_Prime,Website UI,Dis Satisfied
409,SOUTH,52,15,Non_Prime,Product Quality,Dis Satisfied
410,SOUTH,65,14,Prime,Packing & Shipping,Dis Satisfied
411,NORTH,30,94,Non_Prime,Product Quality,Satisfied
412,SOUTH,55,11,Non_Prime,Packing & Shipping,Dis Satisfied
413,NORTH,36,17,Non_Prime,Packing & Shipping,Dis Satisfied
414,NORTH,42,43,Non_Prime,Website UI,Satisfied
415,WEST,34,30,Prime,Product Quality,Dis Satisfied
416,WEST,44,64,Prime,Website UI,Satisfied
417,NORTH,45,18,Non_Prime,Packing & Shipping,Dis Satisfied
418,WEST,38,29,Non_Prime,Website UI,Dis Satisfied
419,NORTH,30,71,Non_Prime,Website UI,Satisfied
420,SOUTH,63,5,Prime,Packing & Shipping,Dis Satisfied
421,SOUTH,25,35,Prime,Website UI,Satisfied
422,WEST,55,22,Non_Prime,Packing & Shipping,Dis Satisfied
423,NORTH,31,22,Prime,Packing & Shipping,Dis Satisfied
424,SOUTH,36,82,Prime,Packing & Shipping,Satisfied
425,WEST,56,7,Non_Prime,Product Quality,Dis Satisfied
426,NORTH,66,23,Prime,Packing & Shipping,Dis Satisfied
427,EAST,49,31,Prime,Website UI,Dis Satisfied
428,WEST,36,57,Prime,Website UI,Satisfied
429,SOUTH,22,45,Prime,Packing & Shipping,Satisfied
430,NORTH,33,65,Prime,Packing & Shipping,Satisfied
431,NORTH,61,28,Non_Prime,Packing & Shipping,Dis Satisfied
432,SOUTH,30,14,Non_Prime,Product Quality,Dis Satisfied
433,WEST,68,15,Non_Prime,Packing & Shipping,Dis Satisfied
434,NORTH,31,15,Non_Prime,Website UI,Dis Satisfied
435,WEST,51,23,Non_Prime,Packing & Shipping,Dis Satisfied
436,SOUTH,45,78,Prime,Product Quality,Satisfied
437,SOUTH,51,37,Prime,Website UI,Dis Satisfied
438,WEST,45,7,Prime,Product Quality,Dis Satisfied
439,NORTH,32,37,Non_Prime,Packing & Shipping,Dis Satisfied
440,NORTH,31,12,Non_Prime,Packing & Shipping,Dis Satisfied
441,SOUTH,48,28,Prime,Product Quality,Dis Satisfied
442,WEST,36,33,Prime,Packing & Shipping,Satisfied
443,NORTH,69,38,Non_Prime,Packing & Shipping,Dis Satisfied
444,NORTH,69,14,Non_Prime,Website UI,Dis Satisfied
445,EAST,68,38,Non_Prime,Packing & Shipping,Dis Satisfied
446,EAST,48,22,Non_Prime,Product Quality,Dis Satisfied
447,WEST,38,47,Prime,Product Quality,Satisfied
448,WEST,58,30,Non_Prime,Website UI,Dis Satisfied
449,WEST,32,65,Prime,Website UI,Satisfied
450,WEST,69,24,Prime,Product Quality,Dis Satisfied
451,NORTH,39,7,Non_Prime,Packing & Shipping,Dis Satisfied
452,SOUTH,40,38,Non_Prime,Packing & Shipping,Dis Satisfied
453,WEST,56,37,Non_Prime,Product Quality,Dis Satisfied
454,WEST,46,26,Prime,Packing & Shipping,Dis Satisfied
455,SOUTH,64,24,Non_Prime,Packing & Shipping,Dis Satisfied
456,SOUTH,18,94,Prime,Packing & Shipping,Satisfied
457,SOUTH,21,94,Prime,Website UI,Satisfied
